Country/Territory	DrugGroup
Liberia	Cannabis-type
Liberia	Cocaine-type
Liberia	Opioids
Mali	Cocaine-type
Mali	Cocaine-type
Mali	Opioids
Mali	Opioids
Mali	Cannabis-type
Mali	Cocaine-type
Mali	Opioids
Niger	ATS
Niger	ATS
Niger	Cannabis-type
Niger	Cannabis-type
Niger	Cocaine-type
Niger	Cocaine-type
Niger	Opioids
Niger	Opioids
Niger	ATS
Niger	ATS
Niger	Cannabis-type
Niger	Cocaine-type
Niger	Cocaine-type
Niger	Opioids
Niger	Opioids
Niger	Sedatives and Tranquillizers
Nigeria	Cannabis-type
Nigeria	ATS
Nigeria	ATS
Nigeria	Cannabis-type
Nigeria	Cocaine-type
Nigeria	Opioids
Nigeria	Opioids
Nigeria	Opioids
Nigeria	Other miscellaneous
Nigeria	Sedatives and Tranquillizers
Nigeria	Sedatives and Tranquillizers
Nigeria	Substances not under international control
Nigeria	ATS
Nigeria	Cannabis-type
Nigeria	Cocaine-type
Nigeria	Non-specified
Nigeria	Opioids
Nigeria	Opioids
Nigeria	Opioids
Nigeria	Opioids
Nigeria	Opioids
Nigeria	Precursors
Nigeria	Sedatives and Tranquillizers
Nigeria	ATS
Nigeria	Cannabis-type
Nigeria	Cocaine-type
Nigeria	Opioids
Nigeria	Opioids
Nigeria	Opioids
Nigeria	Precursors
Nigeria	Sedatives and Tranquillizers
Nigeria	Substances not under international control
Nigeria	ATS
Nigeria	ATS
Nigeria	Cannabis-type
Nigeria	Cocaine-type
Nigeria	Non-specified
Nigeria	Opioids
Nigeria	Precursors
Senegal	ATS
Senegal	ATS
Senegal	Cannabis-type
Senegal	Cannabis-type
Senegal	Cannabis-type
Senegal	Cocaine-type
Senegal	Opioids
Senegal	ATS
Senegal	ATS
Senegal	Cannabis-type
Senegal	Cannabis-type
Senegal	Cannabis-type
Senegal	Cocaine-type
Senegal	Cocaine-type
Senegal	Opioids
Senegal	Opioids
Senegal	Sedatives and Tranquillizers
Senegal	Cannabis-type
Senegal	Cannabis-type
Senegal	Cocaine-type
Senegal	Opioids
Senegal	Sedatives and Tranquillizers
Senegal	ATS
Senegal	Cannabis-type
Senegal	Cannabis-type
Senegal	Cocaine-type
Senegal	Opioids
Sierra Leone	Cannabis-type
Sierra Leone	Cocaine-type
Sierra Leone	Opioids
Sierra Leone	Cannabis-type
Sierra Leone	Cocaine-type
Sierra Leone	Cannabis-type
Togo	ATS
Togo	Cannabis-type
Togo	Cannabis-type
Togo	Opioids
Togo	Opioids
Togo	Opioids
Togo	Opioids
Togo	Opioids
Togo	Opioids
Togo	Opioids
Antigua and Barbuda	ATS
Aruba	Cannabis-type
Aruba	Cocaine-type
Aruba	Non-specified
Bahamas	Cannabis-type
Bahamas	Cocaine-type
Bahamas	ATS
Bahamas	Cannabis-type
Bahamas	Cannabis-type
Bahamas	Cannabis-type
Bahamas	Cocaine-type
Bahamas	Cocaine-type
Bahamas	Opioids
Bahamas	Cannabis-type
Bahamas	Cannabis-type
Bahamas	Cannabis-type
Bahamas	Cocaine-type
Bahamas	Cannabis-type
Bahamas	Cocaine-type
Bahamas	Cannabis-type
Bahamas	Cannabis-type
Bahamas	Cocaine-type
Barbados	ATS
Barbados	Cannabis-type
Barbados	Cannabis-type
Barbados	Cocaine-type
Cuba	Cannabis-type
Dominican Republic	ATS
Dominican Republic	Cannabis-type
Dominican Republic	Cannabis-type
Dominican Republic	Cocaine-type
Dominican Republic	Cocaine-type
Dominican Republic	Non-specified
Dominican Republic	Non-specified
Dominican Republic	Opioids
Dominican Republic	Opioids
Dominican Republic	Opioids
Dominican Republic	Opioids
Dominican Republic	ATS
Dominican Republic	Cannabis-type
Dominican Republic	Cannabis-type
Dominican Republic	Cannabis-type
Dominican Republic	Cocaine-type
Dominican Republic	Cocaine-type
Dominican Republic	Opioids
Dominican Republic	ATS
Dominican Republic	ATS
Dominican Republic	ATS
Dominican Republic	Cannabis-type
Dominican Republic	Cannabis-type
Dominican Republic	Cannabis-type
Dominican Republic	Cocaine-type
Dominican Republic	Cocaine-type
Dominican Republic	Opioids
Dominican Republic	Opioids
Dominican Republic	ATS
Dominican Republic	Cannabis-type
Dominican Republic	Cannabis-type
Dominican Republic	Cannabis-type
Dominican Republic	Cocaine-type
Dominican Republic	Opioids
Dominican Republic	Cannabis-type
Dominican Republic	Cocaine-type
